,user,topics,cnt
912,andrewincontact,10,7
913,andrewincontact,11,6
914,andrewincontact,14,19
915,andrewincontact,15,72
916,andrewincontact,17,2
917,andrewincontact,18,2
918,andrewincontact,20,124
919,andrewincontact,21,45
920,andrewincontact,23,1
921,andrewincontact,26,22
922,andrewincontact,27,3
923,andrewincontact,31,17
924,andrewincontact,33,9
925,andrewincontact,35,49
926,andrewincontact,39,1
927,andrewincontact,40,95
928,andrewincontact,42,3
929,andrewincontact,43,9
930,andrewincontact,44,22
931,andrewincontact,45,4
932,andrewincontact,46,14
933,andrewincontact,47,1
934,andrewincontact,48,13
935,andrewincontact,49,1
936,andrewincontact,51,1
937,andrewincontact,53,38
938,andrewincontact,54,59
939,andrewincontact,56,1
940,andrewincontact,62,6
941,andrewincontact,63,1
942,andrewincontact,64,25
943,andrewincontact,65,1
944,andrewincontact,66,3
945,andrewincontact,68,2
946,andrewincontact,70,3
947,andrewincontact,73,6
948,andrewincontact,74,8
949,andrewincontact,76,7
950,andrewincontact,77,3
951,andrewincontact,78,5
952,andrewincontact,79,1
953,andrewincontact,80,6
954,andrewincontact,85,2
955,andrewincontact,88,1
956,andrewincontact,89,2
957,andrewincontact,92,13
958,andrewincontact,94,13
959,andrewincontact,95,3
960,andrewincontact,96,2
961,andrewincontact,98,2
962,andrewincontact,99,1
963,andrewyng,1,5
964,andrewyng,3,3
965,andrewyng,4,3
966,andrewyng,6,19
967,andrewyng,8,6
968,andrewyng,9,1
969,andrewyng,11,2
970,andrewyng,12,4
971,andrewyng,16,1
972,andrewyng,17,1
973,andrewyng,20,7
974,andrewyng,22,1
975,andrewyng,25,3
976,andrewyng,27,18
977,andrewyng,28,1
978,andrewyng,31,1
979,andrewyng,32,1
980,andrewyng,36,4
981,andrewyng,37,1
982,andrewyng,40,2
983,andrewyng,41,1
984,andrewyng,45,1
985,andrewyng,48,5
986,andrewyng,49,1
987,andrewyng,53,20
988,andrewyng,54,8
989,andrewyng,55,1
990,andrewyng,57,1
991,andrewyng,59,1
992,andrewyng,60,3
993,andrewyng,61,2
994,andrewyng,63,2
995,andrewyng,65,1
996,andrewyng,66,5
997,andrewyng,68,2
998,andrewyng,72,1
999,andrewyng,73,1
1000,andrewyng,75,3
1001,andrewyng,77,9
1002,andrewyng,81,1
1003,andrewyng,83,5
1004,andrewyng,84,3
1005,andrewyng,85,3
1006,andrewyng,86,1
1007,andrewyng,87,1
1008,andrewyng,89,1
1009,andrewyng,93,1
1010,andy_fitze,0,1
1011,andy_fitze,1,6
1012,andy_fitze,2,4
1013,andy_fitze,3,1
1014,andy_fitze,6,2
1015,andy_fitze,8,7
1016,andy_fitze,10,1
1017,andy_fitze,11,14
1018,andy_fitze,12,1
1019,andy_fitze,15,2
1020,andy_fitze,16,2
1021,andy_fitze,17,3
1022,andy_fitze,18,1
1023,andy_fitze,19,3
1024,andy_fitze,20,58
1025,andy_fitze,21,3
1026,andy_fitze,22,1
1027,andy_fitze,23,5
1028,andy_fitze,25,1
1029,andy_fitze,26,2
1030,andy_fitze,27,73
1031,andy_fitze,28,1
1032,andy_fitze,30,3
1033,andy_fitze,33,2
1034,andy_fitze,34,1
1035,andy_fitze,35,1
1036,andy_fitze,36,2
1037,andy_fitze,37,2
1038,andy_fitze,39,12
